Year;Country;Indicator Name;Value;Periodicity;Aggregation method;Unit of measure
1987;China;External loans and deposits of reporting banks vis-Ã -vis all sectors (% of domestic bank deposits);;;;
1987;China;External loans and deposits of reporting banks vis-Ã -vis the nonbanking sectors (% of domestic bank deposits);;;;
1987;China;Firms identifying access to finance as a major constraint (%);;;;
1987;China;Firms with a bank loan or line of credit (%);;;;
1987;China;Loan from family or friends in the past year (% age 15+);;;;
1987;China;Loan through store credit in the past year (% age 15+);;;;
1987;China;Loans from nonresident banks (net) to GDP (%);0.12821780000000002;;;
1987;China;Private credit by deposit money banks and other financial institutions to GDP (%);76.17419;;;
1987;China;Private credit by deposit money banks to GDP (%);76.17419;;;
1987;China;Remittance inflows to GDP (%);0.083539;;;
1987;China;Saved at a financial institution in the past year (% age 15+);;;;
1987;China;Stock market return (%, year-on-year);;;;
1987;China;Stock price volatility;;;;
1987;China;Working capital financed by banks (%);;;;
1987;India;5-bank asset concentration;;;;
1987;India;Account used to receive wages (% age 15+);;;;
1987;India;Bank net interest margin (%);;;;
1987;India;Bank noninterest income to total income (%);;;;
1987;India;Bank non-performing loans to gross loans (%);;;;
1987;India;Consolidated foreign claims of BIS reporting banks to GDP (%);4.190535;;;
1987;India;Electronic payments used to make payments (% age 15+);;;;
1987;India;External loans and deposits of reporting banks vis-Ã -vis the banking sector (% of domestic bank deposits);;;;
1987;India;Firms identifying access to finance as a major constraint (%);;;;
1987;India;Foreign bank assets among total bank assets (%);;;;
1987;India;Government bank assets among total bank assets (%);;;;
1987;India;Loans from nonresident banks (amounts outstanding) to GDP (%);0.9092094999999999;;;
1987;India;Loans requiring collateral (%);;;;
1987;India;Nonfinancial corporate bonds to total bonds and notes outstanding (%);;;;
1987;India;Number of listed companies per 1,000,000 people;2.555869;;;
1987;India;Saved any money in the past year (% age 15+);;;;
1987;India;Stock market turnover ratio (%);;;;
1987;India;Value of collateral needed for a loan (% of the loan amount);;;;
1987;Kuwait;Account used for business purposes (% age 15+);;;;
1987;Kuwait;Bank concentration (%);;;;
1987;Kuwait;Bank lending-deposit spread;2.129167;;;
1987;Kuwait;Bank return on assets (%, before tax);;;;
1987;Kuwait;Bank return on equity (%, after tax);;;;
1987;Kuwait;Bank return on equity (%, before tax);;;;
1987;Kuwait;Consolidated foreign claims of BIS reporting banks to GDP (%);24.407870000000003;;;
1987;Kuwait;Depositing/withdrawing at least once in a typical month (% age 15+);;;;
1987;Kuwait;Firms using banks to finance working capital (%);;;;
1987;Kuwait;Loan from a private lender in the past year (% age 15+);;;;
1987;Kuwait;Nonbank financial institutionsâ assets to GDP (%);6.691447;;;
1987;Kuwait;Non-life insurance premium volume to GDP (%);;;;
1987;Kuwait;Private credit by deposit money banks to GDP (%);83.02143000000001;;;
1987;Kuwait;Small firms with a bank loan or line of credit (%);;;;
1987;Oman;Account at a formal financial institution (% age 15+);;;;
1987;Oman;Bank return on assets (%, after tax);;;;
1987;Oman;Bank return on equity (%, after tax);;;;
1987;Oman;Credit to government and state-owned enterprises to GDP (%);3.101285;;;
1987;Oman;Depositing/withdrawing at least once in a typical month (% age 15+);;;;
1987;Oman;External loans and deposits of reporting banks vis-Ã -vis all sectors (% of domestic bank deposits);;;;
1987;Oman;Firms identifying access to finance as a major constraint (%);;;;
1987;Oman;Firms using banks to finance investments (%);;;;
1987;Oman;Foreign bank assets among total bank assets (%);;;;
1987;Oman;Global leasing volume to GDP (%);;;;
1987;Oman;Gross portfolio debt liabilities to GDP (%);;;;
1987;Oman;Gross portfolio equity assets to GDP (%);;;;
1987;Oman;International debt issues to GDP (%);;;;
1987;Oman;Investments financed by banks (%);;;;
1987;Oman;Loans from nonresident banks (amounts outstanding) to GDP (%);1.280216;;;
1987;Oman;Loans from nonresident banks (net) to GDP (%);;;;
1987;Oman;Loans requiring collateral (%);;;;
1987;Oman;Mobile phone used to pay bills (% age 15+);;;;
1987;Oman;Syndicated loan issuance volume to GDP (%);;;;
1987;Oman;Value traded excluding top 10 traded companies to total value traded (%);;;;
1987;Qatar;Account used to receive remittances (% age 15+);;;;
1987;Qatar;Bank branches per 100,000 adults;;;;
1987;Qatar;Bank deposits to GDP (%);62.55324;;;
1987;Qatar;Bank noninterest income to total income (%);;;;
1987;Qatar;Bank Z-score;;;;
1987;Qatar;Checks used to make payments (% age 15+);;;;
1987;Qatar;Consolidated foreign claims of BIS reporting banks to GDP (%);20.39869;;;
1987;Qatar;Corporate bond average maturity (years);;;;
1987;Qatar;Debit card (% age 15+);;;;
1987;Qatar;Deposit money banks'' assets to GDP (%);44.102140000000006;;;
1987;Qatar;Firms identifying access to finance as a major constraint (%);;;;
1987;Qatar;Firms not needing a loan (%);;;;
1987;Qatar;Firms using banks to finance investments (%);;;;
1987;Qatar;Firms whose recent loan application was rejected (%);;;;
1987;Qatar;Foreign bank assets among total bank assets (%);;;;
1987;Qatar;Gross portfolio debt liabilities to GDP (%);;;;
1987;Qatar;Liquid assets to deposits and short term funding (%);;;;
1987;Qatar;Liquid liabilities to GDP (%);68.85175;;;
1987;Qatar;Loans from nonresident banks (amounts outstanding) to GDP (%);;;;
1987;Qatar;Provisions to nonperforming loans (%);;;;
1987;Qatar;Remittance inflows to GDP (%);;;;
1987;Qatar;Saved any money in the past year (% age 15+);;;;
1987;Qatar;Stock market turnover ratio (%);;;;
1987;Qatar;Syndicated loan average maturity (years);;;;
1987;Qatar;Working capital financed by banks (%);;;;
1987;Saudi Arabia;Account at a formal financial institution (% age 15+);;;;
1987;Saudi Arabia;Account used for business purposes (% age 15+);;;;
1987;Saudi Arabia;Account used to receive remittances (% age 15+);;;;
1987;Saudi Arabia;Account used to receive wages (% age 15+);;;;
1987;Saudi Arabia;Bank return on assets (%, after tax);;;;
1987;Saudi Arabia;Consolidated foreign claims of BIS reporting banks to GDP (%);7.013167999999999;;;
1987;Saudi Arabia;Credit to government and state-owned enterprises to GDP (%);0.035989;;;
1987;Saudi Arabia;Electronic payments used to make payments (% age 15+);;;;
1987;Saudi Arabia;External loans and deposits of reporting banks vis-Ã -vis the banking sector (% of domestic bank deposits);;;;
1987;Saudi Arabia;Global leasing volume to GDP (%);;;;
1987;Saudi Arabia;Gross portfolio debt liabilities to GDP (%);;;;
1987;Saudi Arabia;Loan through store credit in the past year (% age 15+);;;;
1987;Saudi Arabia;Loans from nonresident banks (amounts outstanding) to GDP (%);;;;
1987;Saudi Arabia;Loans from nonresident banks (net) to GDP (%);-0.23338330000000002;;;
1987;Saudi Arabia;Loans requiring collateral (%);;;;
1987;Saudi Arabia;Non-life insurance premium volume to GDP (%);;;;
1987;Saudi Arabia;Pension fund assets to GDP (%);;;;
1987;Saudi Arabia;Remittance inflows to GDP (%);;;;
1987;Saudi Arabia;Saved using a savings club in the past year (% age 15+);;;;
1987;Saudi Arabia;Stock market turnover ratio (%);;;;
1988;Bahrain;Bank credit to bank deposits (%);53.25175;;;
1988;Bahrain;Bank return on assets (%, after tax);;;;
1988;Bahrain;Bank return on assets (%, before tax);;;;
1988;Bahrain;Banking crisis dummy (1=banking crisis, 0=none);0.0;;;
1988;Bahrain;Checks used to make payments (% age 15+);;;;
1988;Bahrain;Debit card (% age 15+);;;;
1988;Bahrain;Domestic credit to private sector (% of GDP);35.3161;;;
1988;Bahrain;Firms identifying access to finance as a major constraint (%);;;;
1988;Bahrain;Firms not needing a loan (%);;;;
1988;Bahrain;Firms with a checking or savings account (%);;;;
1988;Bahrain;Gross portfolio debt assets to GDP (%);;;;
1988;Bahrain;Liquid liabilities in millions USD (2000 constant);4874.339;;;
1988;Bahrain;Loan through store credit in the past year (% age 15+);;;;
1988;Bahrain;Mobile phone used to send money (% age 15+);;;;
1988;Bahrain;Number of listed companies per 1,000,000 people;;;;
1988;Bahrain;Saved using a savings club in the past year (% age 15+);;;;
1988;Bahrain;Syndicated loan issuance volume to GDP (%);;;;
1988;Bahrain;Value of collateral needed for a loan (% of the loan amount);;;;
1988;China;Bank capital to total assets (%);;;;
1988;China;Bank credit to bank deposits (%);369.4009;;;
1988;China;Bank lending-deposit spread;0.36;;;
1988;China;Bank overhead costs to total assets (%);;;;
1988;China;Bank regulatory capital to risk-weighted assets (%);;;;
1988;China;Bank return on assets (%, after tax);;;;
1988;China;Corporate bond issuance volume to GDP (%);;;;
1988;China;Firms using banks to finance investments (%);;;;
1988;China;Firms with a checking or savings account (%);;;;
1988;China;Government bank assets among total bank assets (%);;;;
1988;China;Life insurance premium volume to GDP (%);;;;
1988;China;Loan from an employer in the past year (% age 15+);;;;
1988;China;Market capitalization excluding top 10 companies to total market capitalization (%);;;;
1988;China;Nonfinancial corporate bonds to total bonds and notes outstanding (%);;;;
1988;China;Outstanding domestic private debt securities to GDP (%);;;;
1988;China;Outstanding domestic public debt securities to GDP (%);;;;
1988;China;Saved any money in the past year (% age 15+);;;;
1988;China;Saved using a savings club in the past year (% age 15+);;;;
1988;China;Syndicated loan issuance volume to GDP (%);;;;
1988;India;Bank branches per 100,000 adults;;;;
1988;India;Bank overhead costs to total assets (%);;;;
1988;India;Bank Z-score;;;;
1988;India;Deposit money banks'' assets to GDP (%);33.80254;;;
1988;India;External loans and deposits of reporting banks vis-Ã -vis all sectors (% of domestic bank deposits);;;;
1988;India;Firms with a checking or savings account (%);;;;
1988;India;Foreign bank assets among total banks assets (%);;;;
1988;India;Global leasing volume to GDP (%);;;;
1988;India;Market capitalization excluding top 10 companies to total market capitalization (%);;;;
1988;India;Number of listed companies per 1,000,000 people;2.6747259999999997;;;
1988;India;Outstanding domestic public debt securities to GDP (%);;;;
1988;India;Private credit by deposit money banks and other financial institutions to GDP (%);25.27512;;;
1988;India;Private credit by deposit money banks to GDP (%);25.27512;;;
1988;India;Small firms with a bank loan or line of credit (%);;;;
1988;India;Stock market capitalization to GDP (%);;;;
1988;India;Syndicated loan average maturity (years);;;;
1988;India;Working capital financed by banks (%);;;;
1988;Kuwait;Bank cost to income ratio (%);;;;
1988;Kuwait;Bank deposits to GDP (%);91.07081;;;
1988;Kuwait;Bank net interest margin (%);;;;
1988;Kuwait;Bank regulatory capital to risk-weighted assets (%);;;;
1988;Kuwait;Bank return on assets (%, before tax);;;;
1988;Kuwait;Checks used to make payments (% age 15+);;;;
1988;Kuwait;Consolidated foreign claims of BIS reporting banks to GDP (%);24.0184;;;
1988;Kuwait;Credit card (% age 15+);;;;
1988;Kuwait;Debit card (% age 15+);;;;
1988;Kuwait;External loans and deposits of reporting banks vis-Ã -vis the banking sector (% of domestic bank deposits);;;;
1988;Kuwait;Firms identifying access to finance as a major constraint (%);;;;
1988;Kuwait;Firms not needing a loan (%);;;;
1988;Kuwait;Firms using banks to finance investments (%);;;;
1988;Kuwait;Firms using banks to finance working capital (%);;;;
1988;Kuwait;Foreign bank assets among total banks assets (%);;;;
1988;Kuwait;Liquid assets to deposits and short term funding (%);;;;
1988;Kuwait;Loans from nonresident banks (net) to GDP (%);;;;
1988;Kuwait;Mobile phone used to send money (% age 15+);;;;
1988;Kuwait;Outstanding international public debt securities to GDP (%);;;;
1988;Kuwait;Private credit by deposit money banks to GDP (%);90.84563;;;
1988;Kuwait;Saved using a savings club in the past year (% age 15+);;;;
1988;Kuwait;Stock market capitalization to GDP (%);;;;
1988;Kuwait;Value traded excluding top 10 traded companies to total value traded (%);;;;
1988;Oman;Account at a formal financial institution (% age 15+);;;;
1988;Oman;ATMs per 100,000 adults;;;;
1988;Oman;Bank accounts per 1,000 adults;;;;
1988;Oman;Bank Z-score;;;;
1988;Oman;Banking crisis dummy (1=banking crisis, 0=none);0.0;;;
1988;Oman;Consolidated foreign claims of BIS reporting banks to GDP (%);20.9272;;;
1988;Oman;Corporate bond issuance volume to GDP (%);;;;
1988;Oman;Credit flows by fintech and bigtech companies to GDP (%);;;;
1988;Oman;Credit to government and state-owned enterprises to GDP (%);1.176182;;;
1988;Oman;Debit card (% age 15+);;;;
1988;Oman;Deposit money banks'' assets to GDP (%);24.89586;;;
1988;Oman;Financial system deposits to GDP (%);24.74275;;;
1988;Oman;Firms identifying access to finance as a major constraint (%);;;;
1988;Oman;Firms using banks to finance working capital (%);;;;
1988;Oman;Foreign banks among total banks (%);;;;
1988;Oman;International debt issues to GDP (%);;;;
1988;Oman;Investments financed by banks (%);;;;
1988;Oman;Liquid assets to deposits and short term funding (%);;;;
1988;Oman;Loan from a private lender in the past year (% age 15+);;;;
1988;Oman;Loan from an employer in the past year (% age 15+);;;;
1988;Oman;Loans requiring collateral (%);;;;
1988;Oman;Mutual fund assets to GDP (%);;;;
1988;Oman;Nonfinancial corporate bonds to total bonds and notes outstanding (%);;;;
1988;Oman;Non-life insurance premium volume to GDP (%);;;;
1988;Oman;Outstanding domestic private debt securities to GDP (%);;;;
1988;Oman;Saved any money in the past year (% age 15+);;;;
1988;Oman;Total factoring volume to GDP (%);;;;
1988;Qatar;Account used to receive government payments (% age 15+);;;;
1988;Qatar;Account used to receive remittances (% age 15+);;;;
1988;Qatar;Account used to receive wages (% age 15+);;;;
1988;Qatar;Bank capital to total assets (%);;;;
1988;Qatar;Bank cost to income ratio (%);;;;
1988;Qatar;Bank deposits to GDP (%);51.54793;;;
1988;Qatar;Bank net interest margin (%);;;;
1988;Qatar;Bank non-performing loans to gross loans (%);;;;
1988;Qatar;Bank overhead costs to total assets (%);;;;
1988;Qatar;Credit flows by fintech and bigtech companies to GDP (%);;;;
1988;Qatar;Firms identifying access to finance as a major constraint (%);;;;
1988;Qatar;Firms using banks to finance working capital (%);;;;
1988;Qatar;Foreign bank assets among total banks assets (%);;;;
1988;Qatar;Foreign banks among total banks (%);;;;
1988;Qatar;Gross portfolio equity assets to GDP (%);;;;
1988;Qatar;Liquid assets to deposits and short term funding (%);;;;
1988;Qatar;Loan from family or friends in the past year (% age 15+);;;;
1988;Qatar;Loans from nonresident banks (amounts outstanding) to GDP (%);;;;
1988;Qatar;Market capitalization excluding top 10 companies to total market capitalization (%);;;;
1988;Qatar;Non-life insurance premium volume to GDP (%);;;;
1988;Qatar;Number of listed companies per 1,000,000 people;;;;
1988;Qatar;Private credit by deposit money banks and other financial institutions to GDP (%);42.153690000000005;;;
1988;Qatar;Saved at a financial institution in the past year (% age 15+);;;;
1988;Qatar;Stock price volatility;;;;
1988;Qatar;Working capital financed by banks (%);;;;
1988;Saudi Arabia;Account at a formal financial institution (% age 15+);;;;
1988;Saudi Arabia;ATMs per 100,000 adults;;;;
1988;Saudi Arabia;Bank concentration (%);;;;
1988;Saudi Arabia;Bank cost to income ratio (%);;;;
1988;Saudi Arabia;Bank non-performing loans to gross loans (%);;;;
1988;Saudi Arabia;Bank overhead costs to total assets (%);;;;
1988;Saudi Arabia;Bank return on assets (%, after tax);;;;
1988;Saudi Arabia;External loans and deposits of reporting banks vis-Ã -vis the banking sector (% of domestic bank deposits);;;;
1988;Saudi Arabia;Firms identifying access to finance as a major constraint (%);;;;
1988;Saudi Arabia;Firms whose recent loan application was rejected (%);;;;
1988;Saudi Arabia;Gross portfolio debt liabilities to GDP (%);;;;
1988;Saudi Arabia;Insurance company assets to GDP (%);;;;
1988;Saudi Arabia;Life insurance premium volume to GDP (%);;;;
1988;Saudi Arabia;Liquid assets to deposits and short term funding (%);;;;
1988;Saudi Arabia;Liquid liabilities in millions USD (2000 constant);86284.34;;;
1988;Saudi Arabia;Loan from a financial institution in the past year (% age 15+);;;;
1988;Saudi Arabia;Loans from nonresident banks (net) to GDP (%);;;;
1988;Saudi Arabia;Private credit by deposit money banks and other financial institutions to GDP (%);75.36274;;;
1988;Saudi Arabia;Private credit by deposit money banks to GDP (%);22.39216;;;
1988;Saudi Arabia;Stock market capitalization to GDP (%);;;;
1988;Saudi Arabia;Stock market turnover ratio (%);;;;
1988;Saudi Arabia;Working capital financed by banks (%);;;;
1989;Bahrain;Account used for business purposes (% age 15+);;;;
1989;Bahrain;Account used to receive government payments (% age 15+);;;;
1989;Bahrain;ATMs per 100,000 adults;;;;
1989;Bahrain;Corporate bond issuance volume to GDP (%);;;;
1989;Bahrain;Credit to government and state-owned enterprises to GDP (%);7.268768;;;
1989;Bahrain;Debit card (% age 15+);;;;
1989;Bahrain;Depositing/withdrawing at least once in a typical month (% age 15+);;;;
1989;Bahrain;External loans and deposits of reporting banks vis-Ã -vis the banking sector (% of domestic bank deposits);;;;
1989;Bahrain;Firms using banks to finance investments (%);;;;
1989;Bahrain;Firms with a bank loan or line of credit (%);;;;
1989;Bahrain;Market capitalization excluding top 10 companies to total market capitalization (%);;;;
1989;Bahrain;Mobile phone used to send money (% age 15+);;;;
1989;Bahrain;Non-life insurance premium volume to GDP (%);;;;
1989;Bahrain;Private credit by deposit money banks and other financial institutions to GDP (%);33.205059999999996;;;
1989;Bahrain;Saved using a savings club in the past year (% age 15+);;;;
1989;Bahrain;Small firms with a bank loan or line of credit (%);;;;
1989;Bahrain;Stock price volatility;;;;
1989;Bahrain;Syndicated loan issuance volume to GDP (%);;;;
1989;Bahrain;Value traded excluding top 10 traded companies to total value traded (%);;;;
1989;Bahrain;Working capital financed by banks (%);;;;
1989;China;Account at a formal financial institution (% age 15+);;;;
1989;China;ATMs per 100,000 adults;;;;
1989;China;Bank net interest margin (%);;;;
1989;China;Bank return on assets (%, before tax);;;;
1989;China;Checks used to make payments (% age 15+);;;;
1989;China;Consolidated foreign claims of BIS reporting banks to GDP (%);5.192541;;;
1989;China;Corporate bond issuance volume to GDP (%);;;;
1989;China;Credit card (% age 15+);;;;
1989;China;Debit card (% age 15+);;;;
1989;China;External loans and deposits of reporting banks vis-Ã -vis the banking sector (% of domestic bank deposits);;;;
1989;China;Financial system deposits to GDP (%);17.48862;;;
1989;China;Firms using banks to finance investments (%);;;;
1989;China;Firms whose recent loan application was rejected (%);;;;
1989;China;Firms with a bank loan or line of credit (%);;;;
1989;China;Government bank assets among total bank assets (%);;;;
1989;China;Gross portfolio equity liabilities to GDP (%);;;;
1989;China;International debt issues to GDP (%);1.419337;;;
1989;China;Life insurance premium volume to GDP (%);;;;
1989;China;Liquid liabilities in millions USD (2000 constant);419363.3;;;
1989;China;Loan from a private lender in the past year (% age 15+);;;;
1989;China;Mobile phone used to pay bills (% age 15+);;;;
1989;China;Mutual fund assets to GDP (%);;;;
1989;China;Number of listed companies per 1,000,000 people;;;;
1989;China;Outstanding domestic private debt securities to GDP (%);;;;
1989;China;Private credit by deposit money banks and other financial institutions to GDP (%);75.12337;;;
1989;China;Stock price volatility;;;;
1989;India;Account used for business purposes (% age 15+);;;;
1989;India;Bank accounts per 1,000 adults;;;;
1989;India;Bank branches per 100,000 adults;;;;
1989;India;Bank lending-deposit spread;;;;
1989;India;Bank net interest margin (%);;;;
1989;India;Bank return on assets (%, before tax);;;;
1989;India;Corporate bond average maturity (years);;;;
1989;India;Domestic credit to private sector (% of GDP);26.5898;;;
1989;India;Firms identifying access to finance as a major constraint (%);;;;
1989;India;Firms using banks to finance investments (%);;;;
1989;India;Firms whose recent loan application was rejected (%);;;;
1989;India;Firms with a bank loan or line of credit (%);;;;
1989;India;Global leasing volume to GDP (%);;;;
1989;India;Government bank assets among total bank assets (%);;;;
1989;India;Loans from nonresident banks (amounts outstanding) to GDP (%);1.144431;;;
1989;India;Mobile phone used to pay bills (% age 15+);;;;
1989;India;Outstanding domestic public debt securities to GDP (%);;;;
1989;India;Outstanding international private debt securities to GDP (%);;;;
1989;India;Outstanding international public debt securities to GDP (%);;;;
1989;India;Remittance inflows to GDP (%);0.8829290000000001;;;
1989;India;Syndicated loan average maturity (years);;;;
1989;India;Syndicated loan issuance volume to GDP (%);;;;
1989;India;Value of collateral needed for a loan (% of the loan amount);;;;
1989;India;Working capital financed by banks (%);;;;
1989;Kuwait;Account used to receive government payments (% age 15+);;;;
1989;Kuwait;ATMs per 100,000 adults;;;;
1989;Kuwait;Bank accounts per 1,000 adults;;;;
1989;Kuwait;Bank cost to income ratio (%);;;;
1989;Kuwait;Bank noninterest income to total income (%);;;;
1989;Kuwait;Bank overhead costs to total assets (%);;;;
1989;Kuwait;Bank return on assets (%, before tax);;;;
1989;Kuwait;Credit to government and state-owned enterprises to GDP (%);17.49758;;;
1989;Kuwait;Deposit money bank assets to deposit money bank assets and central bank assets (%);92.80332;;;
1989;Kuwait;Deposit money banks'' assets to GDP (%);91.20525;;;
1989;Kuwait;Depositing/withdrawing at least once in a typical month (% age 15+);;;;
1989;Kuwait;Electronic payments used to make payments (% age 15+);;;;
1989;Kuwait;External loans and deposits of reporting banks vis-Ã -vis all sectors (% of domestic bank deposits);;;;
1989;Kuwait;Firms not needing a loan (%);;;;
1989;Kuwait;Firms using banks to finance investments (%);;;;
1989;Kuwait;Gross portfolio equity liabilities to GDP (%);;;;
1989;Kuwait;Investments financed by banks (%);;;;
1989;Kuwait;Loan from an employer in the past year (% age 15+);;;;
1989;Kuwait;Loans from nonresident banks (net) to GDP (%);;;;
1989;Kuwait;Mobile phone used to send money (% age 15+);;;;
1989;Kuwait;Outstanding domestic public debt securities to GDP (%);;;;
1989;Kuwait;Outstanding international private debt securities to GDP (%);;;;
1989;Kuwait;Private credit by deposit money banks to GDP (%);73.70815999999999;;;
1989;Kuwait;Saved any money in the past year (% age 15+);;;;
